Date,Open,High,Low,Close,Volume
20-Dec-13,1089.29,1101.17,1088.00,1100.62,3267417
19-Dec-13,1081.45,1091.99,1079.08,1086.22,1666006
18-Dec-13,1071.99,1084.95,1059.04,1084.75,2212546
17-Dec-13,1074.10,1080.76,1068.38,1069.86,1539917
16-Dec-13,1063.01,1074.69,1062.01,1072.98,1606175
13-Dec-13,1075.21,1076.29,1057.88,1060.79,2164759
12-Dec-13,1079.57,1082.94,1069.00,1069.96,1596498
11-Dec-13,1087.40,1091.32,1075.17,1077.29,1711835
10-Dec-13,1075.65,1092.31,1075.65,1084.66,1856112
9-Dec-13,1070.09,1082.31,1068.02,1078.14,1484103
6-Dec-13,1069.79,1070.00,1060.08,1069.87,1431235
5-Dec-13,1057.20,1059.66,1051.09,1057.34,1134919
4-Dec-13,1051.37,1063.98,1050.00,1058.18,1192139
3-Dec-13,1050.95,1063.44,1049.02,1053.26,1678054
2-Dec-13,1063.51,1066.35,1050.76,1054.48,1375234
29-Nov-13,1062.16,1066.62,1059.45,1059.59,1192773
27-Nov-13,1062.03,1068.00,1060.00,1063.11,1123559
26-Nov-13,1048.60,1061.50,1042.94,1058.41,2287182
25-Nov-13,1037.16,1053.19,1035.02,1045.93,1613009
22-Nov-13,1033.42,1036.17,1029.22,1031.89,1254310
21-Nov-13,1027.00,1038.31,1026.00,1034.07,1092497
20-Nov-13,1029.95,1033.36,1020.36,1022.31,965535
19-Nov-13,1031.72,1034.75,1023.05,1025.20,1131619
18-Nov-13,1035.75,1048.74,1029.24,1031.55,1760249
15-Nov-13,1034.87,1038.00,1030.31,1033.56,1277772
14-Nov-13,1033.92,1039.75,1030.35,1035.23,1168469
13-Nov-13,1006.75,1032.85,1006.50,1032.47,1584004
12-Nov-13,1007.70,1017.56,1005.00,1011.78,1218960
11-Nov-13,1009.51,1015.93,1008.00,1010.59,1112778
8-Nov-13,1008.75,1018.50,1008.50,1016.03,1294508
7-Nov-13,1022.61,1023.93,1007.64,1007.95,1680071
6-Nov-13,1025.60,1027.00,1015.37,1022.75,914624
5-Nov-13,1020.35,1031.65,1017.42,1021.52,1181488
4-Nov-13,1031.50,1032.37,1022.03,1026.11,1139185
1-Nov-13,1031.79,1036.00,1025.10,1027.04,1283938
31-Oct-13,1028.93,1041.52,1023.97,1030.58,1640035
30-Oct-13,1037.43,1037.51,1026.00,1030.42,1327100
29-Oct-13,1019.10,1036.94,1013.50,1036.24,1608296
28-Oct-13,1015.20,1023.43,1012.98,1015.00,1166400
25-Oct-13,1028.82,1028.82,1010.74,1015.20,2025288
24-Oct-13,1031.87,1040.57,1024.80,1025.55,2088370
23-Oct-13,1001.00,1034.75,1000.63,1031.41,2667586
22-Oct-13,1005.00,1013.00,995.79,1007.00,2211479
21-Oct-13,1011.46,1019.00,999.55,1003.30,3633166
18-Oct-13,976.58,1015.46,974.00,1011.41,11584258
17-Oct-13,892.99,896.90,885.73,888.79,4256622
16-Oct-13,885.87,898.33,884.01,898.03,2011786
15-Oct-13,875.76,885.63,874.00,882.01,1594777
14-Oct-13,866.66,876.25,865.39,876.11,1243673
11-Oct-13,866.03,873.48,865.30,871.99,1408912
10-Oct-13,863.84,868.83,860.21,868.24,2258931
9-Oct-13,856.28,862.65,842.98,855.86,2653118
8-Oct-13,865.32,865.98,851.63,853.67,1938778
7-Oct-13,867.45,873.99,864.11,865.74,1294017
4-Oct-13,875.00,877.51,870.00,872.35,1358454
3-Oct-13,888.00,894.10,872.10,876.09,2119212
2-Oct-13,882.73,889.36,877.82,887.99,1489132
1-Oct-13,880.25,887.67,880.05,887.00,1685208
30-Sep-13,869.08,880.84,868.31,875.91,1719253
27-Sep-13,874.82,877.52,871.31,876.39,1258822
26-Sep-13,878.30,882.75,875.00,878.17,1260307
25-Sep-13,886.55,886.55,875.60,877.23,1654113
24-Sep-13,886.50,890.10,881.40,886.84,1486783
23-Sep-13,896.15,901.59,885.20,886.50,1748154
20-Sep-13,898.39,904.13,895.62,903.11,4348349
19-Sep-13,905.99,905.99,895.40,898.39,1598201
18-Sep-13,886.35,903.97,883.07,903.32,1937266
17-Sep-13,887.41,888.40,881.00,886.11,1260257
16-Sep-13,896.20,897.00,884.87,887.76,1341311
13-Sep-13,894.50,895.68,884.84,889.07,1326886
12-Sep-13,897.40,897.90,890.01,893.06,1095465
11-Sep-13,888.54,896.97,886.08,896.19,1610146
10-Sep-13,890.02,892.00,884.00,888.67,1287836
9-Sep-13,883.73,889.75,882.42,888.05,1220140
6-Sep-13,882.44,883.78,873.74,879.58,1560588
5-Sep-13,873.50,879.88,871.61,879.56,1292601
4-Sep-13,860.35,873.50,855.17,871.63,2041640
3-Sep-13,854.36,866.19,853.95,860.38,2047736
30-Aug-13,855.76,858.04,845.56,846.90,1861554
29-Aug-13,849.07,860.38,848.59,855.43,1478494
28-Aug-13,850.25,855.41,847.77,848.55,1330324
27-Aug-13,859.62,863.73,847.90,850.15,1727986
26-Aug-13,870.00,874.90,866.05,866.39,1056184
23-Aug-13,877.83,878.00,869.75,870.21,1077093
22-Aug-13,872.70,874.75,870.25,873.71,870491
21-Aug-13,870.65,876.91,866.50,869.33,1761596
20-Aug-13,868.35,872.11,863.54,865.42,1236259
19-Aug-13,857.71,872.00,857.45,865.65,1811425
16-Aug-13,861.28,862.44,856.54,856.91,1675387
15-Aug-13,864.44,864.92,858.00,859.66,1870812
14-Aug-13,878.37,880.23,867.16,869.81,2083229
13-Aug-13,886.83,888.50,876.20,881.25,1420462
12-Aug-13,886.90,887.00,881.65,885.51,1377354
9-Aug-13,890.56,895.52,890.00,890.41,1323761
8-Aug-13,895.49,895.84,885.30,892.66,1488045
7-Aug-13,895.04,898.45,889.09,890.65,1380382
6-Aug-13,904.69,909.71,895.73,896.57,1506475
5-Aug-13,905.39,905.52,899.20,905.00,1309921
2-Aug-13,903.44,907.00,900.82,906.57,1717765
1-Aug-13,895.00,904.55,895.00,904.22,2138314
31-Jul-13,892.99,896.51,886.18,887.75,2173446
30-Jul-13,885.46,895.61,880.87,890.92,1756116
29-Jul-13,884.90,894.82,880.89,882.27,1893042
26-Jul-13,886.99,889.99,882.00,885.35,1778244
25-Jul-13,893.87,896.85,886.08,887.70,3005227
24-Jul-13,907.26,910.30,900.70,902.90,2080778
23-Jul-13,910.70,913.00,899.57,903.80,2046745
22-Jul-13,902.00,912.67,897.00,910.70,2904179
19-Jul-13,886.61,902.95,875.61,896.60,7363398
18-Jul-13,918.99,920.00,903.19,910.68,3634430
17-Jul-13,921.00,926.86,916.30,918.55,1506168
16-Jul-13,927.13,927.97,913.90,919.61,1983527
15-Jul-13,924.30,928.00,916.36,924.69,1961361
12-Jul-13,920.00,923.00,915.24,923.00,2568942
11-Jul-13,913.00,920.81,908.52,920.24,2587845
